"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Quantity","Unit Price","Description"
"FC4STCBMF16.0-BAG200","Fox Electronics","631-1108-ND","","Q1","1","0.35000","CRYSTAL 16.0000MHZ 20PF T/H"
"SSM6P40TU,LF","Toshiba Semiconductor and Storage","SSM6P40TULFCT-ND","","U6","1","0.47000","SMALL SIGNAL MOSFET P-CHX2 VDSS-"
"CL31B104JBCNNNC","Samsung Electro-Mechanics","1276-1165-1-ND","","C1, C2, C3, C9, C11, C13","6","0.17000","CAP CER 0.1UF 50V X7R 1206"
"RC1206FR-07100KL","Yageo","311-100KFRCT-ND","","R1, R2, R3, R4, R5, R6, R12, R15","8","0.10000","RES SMD 100K OHM 1% 1/4W 1206"
"CL31B106MOHNNNE","Samsung Electro-Mechanics","1276-6641-1-ND","","C5, C8","2","0.23000","CAP CER 10UF 16V X7R 1206"
"RC1206FR-0710KL","Yageo","311-10.0KFRCT-ND","","R16, R17, R18, R19","4","0.10000","RES SMD 10K OHM 1% 1/4W 1206"
"CL31A106KAHNNNE","Samsung Electro-Mechanics","1276-1075-1-ND","","C7, C10, C12","3","0.22000","CAP CER 10UF 25V X5R 1206"
"CRCW1206150RFKEAHP","Vishay Dale","541-150UCT-ND","","R10","1","0.46000","RES SMD 150 OHM 1% 3/4W 1206"
"RNCP1206FTD1K00","Stackpole Electronics Inc","RNCP1206FTD1K00CT-ND","","R7, R8, R9","3","0.10000","RES 1K OHM 1% 1/2W 1206"
"885012208046","Würth Elektronik","732-8102-1-ND","","C4, C6","2","0.10000","CAP CER 1000PF 25V X7R 1206"
"282834-2","TE Connectivity AMP Connectors","A98333-ND","","J2","1","0.88000","TERM BLK 2P SIDE ENT 2.54MM PCB"
"282834-4","TE Connectivity AMP Connectors","A98335-ND","","J1","1","2.68000","TERM BLK 4P SIDE ENT 2.54MM PCB"
"GF-161-0005","CW Industries","CWI359-ND","","SW9","1","2.01000","SWITCH SLIDE 3PDT 500MA 125V"
"RC1206FR-07475KL","Yageo","311-475KFRCT-ND","","R11","1","0.10000","RES SMD 475K OHM 1% 1/4W 1206"
"825457-3","TE Connectivity AMP Connectors","A122907-ND","","J3","1","1.11000","CONN HEADER R/A 6POS 2.54MM"
"ATMEGA328-PU","Microchip Technology","ATMEGA328-PU-ND","","U1","1","1.90000","IC MCU 8BIT 32KB FLASH 28DIP"
"BSS138L","ON Semiconductor","BSS138LCT-ND","","U$1, U$3, U$5","3","0.27000","MOSFET N-CH 50V 0.2A SOT-23"
"DRV5053VAQLPGM","Texas Instruments","296-41085-1-ND","","U2, U3","2","1.25000","SENSOR HALL EFFECT ANALOG TO92-3"
"XZMDKVG55W-4","SunLED","1497-1314-1-ND","","U$2","1","0.51000","LED GREEN/RED CLEAR 2SMD"
"BSS138L","ON Semiconductor","BSS138LCT-ND","","U5","1","0.27000","MOSFET N-CH 50V 0.2A SOT-23"
"LM1086IT-3.3/NOPB","Texas Instruments","LM1086IT-3.3/NOPB-ND","","U4","1","1.86000","IC REG LINEAR 3.3V 1.5A TO220-3"
"PRT-14460","SparkFun Electronics","1568-1757-ND","","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8","8","1.60000","MULTICOLOR BUTTONS - 4-PACK"
"COM-09032","SparkFun Electronics","1568-1526-ND","","S1, S2","2","3.95000","JOYSTICK 10K OHM 2 AXIS TH"
"XB24CAWIT-001","Digi International","602-1891-ND","","XB2","1","20.06000","RF TXRX MOD 802.15.4  WIRE ANT"
"259","Adafruit Industries LLC","1528-1996-ND","B2","","1","12.50000","USB LIION/LIPOLY CHARGER - V1.2"
"LI18650JS 1S1P + PCM + 2 WIRES 70MM","Jauch Quartz","1908-1343-ND","BAT1, BAT2","","2","12.14000","BATT LITH 3.6V 2.55AH 18650"
"MSS1P6-M3/89A","Vishay Semiconductor Diodes Division","MSS1P6-M3/89AGICT-ND","D1,D2,D3,D4,D4,D5,D6,D7,D8,D9,D10,D11,D12","","12","0.29800","DIODE SCHOTTKY 60V 1A MICROSMP"
"1825027-5","TE Connectivity ALCOSWITCH Switches","450-1662-ND","U$4, U$6","","2","0.18000","SWITCH TACTILE SPST-NO 0.05A 24V"
