"Centroid Data for pc board: ""Controller.brd"" as of: 11/3/2019 4:08 PM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,MID X,MID Y,Rotation
C1,Top,3.191,1.552,180
C2,Top,1.701,1.479,0
C3,Top,1.701,1.159,0
C4,Top,1.944,1.496,90
C5,Bottom,2.168,1.617,0
C6,Top,1.937,1.244,90
C7,Top,0.703,0.73,270
C8,Top,0.702,0.938,270
C9,Top,0.605,0.934,270
C10,Top,1.038,0.55,90
C11,Bottom,2.168,1.722,0
C12,Top,0.829,0.316,270
C13,Top,0.98,0.315,270
R1,Top,3.184,1.655,180
R2,Top,1.708,1.677,0
R3,Top,1.706,1.357,0
R4,Top,3.188,1.458,180
R5,Top,1.71,1.583,0
R6,Top,1.708,1.261,0
R7,Top,2.28,2.324,0
R8,Top,3.065,1.241,270
R9,Top,3.22,1.243,270
R10,Top,1.762,2.08,270
R11,Top,4.494,0.433,180
R12,Top,4.494,0.209,270
R15,Top,1.891,2.306,0
R16,Top,2.149,2.182,0
R17,Top,1.71,1.874,0
R18,Top,2.147,2.093,0
R19,Top,1.714,1.776,0
U$1,Top,2.164,1.819,90
U$2,Top,1.659,2.08,90
U$3,Top,1.531,2.113,0
U$5,Top,2.158,1.954,90
U5,Top,0.336,0.34,90
U6,Top,4.307,0.447,180
